English,Hindi,Romanized_Hindi,Telugu
Tom gave Mary an obvious wink.,टॉम ने मैरी को साफ-साफ आंख मारी।,Tom ne Mary ko saaf-saaf aankh maari.,టామ్ మేరీకి స్పష్టంగా కన్ను గీటాడు.
It's storming outside.,बाहर तूफ़ान हो रहा है।,Baahar toofan ho raha hai.,బయట తుఫానుగా ఉంది.
We know that everything we need to do is on the list.,"हम जानते हैं कि हमें जो कुछ भी करना है, वह सूची में है।","Hum jaante hain ki humein jo kuch bhi karna hai, vah soochi mein hai.",మనం చేయాల్సిన పనులన్నీ ఆ జాబితాలో ఉన్నాయని మనకు తెలుసు.
The box was small and wrapped in paper with tiny silver and red glitter dots.,डिब्बा छोटा था और उस पर चांदी और लाल रंग के छोटे चमकते बिंदुओं वाले कागज़ से लिपटा हुआ था।,Dibba chhota tha aur us par chandi aur laal rang ke chhote chamakte binduon vaale kaagaz se lipta hua tha.,"ఆ పెట్టె చిన్నదిగా ఉంది మరియు వెండి, ఎరుపు రంగు మెరిసే చుక్కలున్న కాగితంతో చుట్టబడి ఉంది."
Hairless cats are probably cold a lot.,बिना बालों वाली बिल्लियों को शायद बहुत ठंड लगती होगी।,Bina baalon vaali billiyon ko shaayad bahut thand lagti hogi.,జుట్టు లేని పిల్లులకు బహుశా తరచుగా చలి వేస్తుందేమో.
The Earth is spherical.,पृथ्वी गोलाकार है।,Prithvi golaakaar hai.,భూమి గోళాకారంలో ఉంటుంది.
You may choose what to eat from this list.,आप इस सूची में से चुन सकते हैं कि क्या खाना है।,Aap is soochi mein se chun sakte hain ki kya khaana hai.,ఈ జాబితా నుండి మీరు ఏమి తినాలో ఎంచుకోవచ్చు.
You look so amazing in that red dress and heels.,तुम उस लाल ड्रेस और हील्स में बहुत शानदार लग रही हो।,Tum us laal dress aur heels mein bahut shaandaar lag rahi ho.,ఆ ఎర్రటి డ్రెస్ మరియు హీల్స్‌లో నువ్వు చాలా అద్భుతంగా కనిపిస్తున్నావు.
The dog barked at the cat.,कुत्ते ने बिल्ली पर भौंका।,Kutte ne billi par bhaunka.,కుక్క పిల్లిని చూసి మొరిగింది.
I was so thirsty that I couldn't wait to get a drink of water.,मुझे इतनी प्यास लगी थी कि मैं पानी पीने के लिए इंतज़ार नहीं कर सका।,Mujhe itni pyaas lagi thi ki main paani peene ke liye intezaar nahi kar saka.,"నాకు ఎంత దాహం వేసిందంటే, నీళ్లు తాగే వరకు నేను ఆగలేకపోయాను."
He persuaded me to take the job.,उसने मुझे नौकरी स्वीकार करने के लिए मना लिया।,Usne mujhe naukri sveekaar karne ke liye mana liya.,ఆ ఉద్యోగం చేసేలా అతను నన్ను ఒప్పించాడు.
"When I read the list of ingredients, my stomach turned.","जब मैंने सामग्री की सूची पढ़ी, तो मेरा जी मिचलाने लगा।","Jab maine samagri ki soochi padhi, toh mera jee michlane laga.","నేను పదార్థాల జాబితాను చదివినప్పుడు, నాకు వికారంగా అనిపించింది."
Keep your hands to yourself.,अपने हाथ अपने पास रखो।,Apne haath apne paas rakho.,నీ చేతులను నీ దగ్గరే ఉంచుకో.
I own a lot of property in Beijing.,बीजिंग में मेरी बहुत सारी संपत्ति है।,Beijing mein meri bahut saari sampatti hai.,బీజింగ్‌లో నాకు చాలా ఆస్తులు ఉన్నాయి.
I didn't realize that the app was an invitation-only kind of thing.,मुझे एहसास नहीं था कि यह ऐप केवल आमंत्रण-आधारित है।,Mujhe ehsaas nahi tha ki yeh app keval aamantran-aadharit hai.,ఈ యాప్ కేవలం ఆహ్వానం ఉన్నవారికి మాత్రమేనని నాకు తెలియదు.
I was already sorry that you had to work with Blake.,मुझे पहले से ही दुख था कि तुम्हें ब्लेक के साथ काम करना पड़ा।,Mujhe pehle se hi dukh tha ki tumhein Blake ke saath kaam karna pada.,నువ్వు బ్లేక్‌తో కలిసి పని చేయాల్సి వచ్చినందుకు నాకు ముందే బాధగా అనిపించింది.
She was constantly looking for new jobs.,वह लगातार नई नौकरियों की तलाश में थी।,Vah lagaatar nayi naukriyon ki talaash mein thi.,ఆమె నిరంతరం కొత్త ఉద్యోగాల కోసం వెతుకుతోంది.
It's so expensive I want to die.,यह इतना महंगा है कि मेरा मन कर रहा है कि मैं मर जाऊं।,Yeh itna mehnga hai ki mera mann kar raha hai ki main mar jaaun.,"ఇది ఎంత ఖరీదైనదంటే, నాకు చచ్చిపోవాలనిపిస్తోంది."
They’re as different as night and day.,वे दिन और रात की तरह अलग हैं।,Ve din aur raat ki tarah alag hain.,వారు పగలు మరియు రాత్రిలా పూర్తిగా భిన్నంగా ఉంటారు.
The siblings could help each other.zfh,भाई-बहन एक-दूसरे की मदद कर सकते थे।,Bhai-behen ek-doosre ki madad kar sakte the.,తోబుట్టువులు ఒకరికొకరు సహాయం చేసుకోవచ్చు.
You ought to do it.,तुम्हें यह करना चाहिए।,Tumhein yeh karna chahiye.,నువ్వు ఇది చేయాలి.
He knows English better than I do.,वह मुझसे बेहतर अंग्रेजी जानता है।,Vah mujhse behtar angrezi jaanta hai.,అతనికి నాకంటే బాగా ఇంగ్లీష్ వచ్చు.
She liked vintage jeans because they fit her better.,उसे पुरानी शैली की जींस पसंद थी क्योंकि वे उसे बेहतर फिट होती थीं।,Use purani shaili ki jeans pasand thi kyonki ve use behtar fit hoti thin.,ఆమెకు పాతకాలపు జీన్స్ అంటే ఇష్టం ఎందుకంటే అవి ఆమెకు బాగా సరిపోతాయి.
My son is a total nightmare.,मेरा बेटा बहुत ही ज्यादा परेशान करने वाला है।,Mera beta bahut hi zyada pareshan karne vala hai.,నా కొడుకు చాలా అల్లరి చేస్తాడు.
The peddler carried a big bundle on his back.,फेरीवाले ने अपनी पीठ पर एक बड़ा गट्ठर लादा हुआ था।,Pherivale ne apni peeth par ek bada gatthar lada hua tha.,ఆ వ్యాపారి తన వీపుపై ఒక పెద్ద మూటను మోసుకెళ్తున్నాడు.
I won’t phone my friend till Bob arrives.,"जब तक बॉब नहीं आ जाता, मैं अपने दोस्त को फोन नहीं करूँगा।","Jab tak Bob nahi aa jata, main apne dost ko phone nahi karunga.",బాబ్ వచ్చే వరకు నేను నా స్నేహితుడికి ఫోన్ చేయను.
She bought a new plant even though she already had too many.,"उसने एक नया पौधा खरीदा, भले ही उसके पास पहले से ही बहुत सारे थे।","Usne ek naya paudha kharida, bhale hi uske paas pehle se hi bahut saare the.","ఆమె దగ్గర ఇప్పటికే చాలా మొక్కలు ఉన్నప్పటికీ, కొత్త మొక్కను కొనుగోలు చేసింది."
You took out someone you cared for.,तुम किसी ऐसे व्यक्ति को बाहर ले गए जिसकी तुम परवाह करते थे।,Tum kisi aise vyakti ko bahar le gaye jiski tum parvah karte the.,నువ్వు ఇష్టపడే వ్యక్తిని బయటకు తీసుకెళ్లావు.
The book had pictures of eyes all over the cover.,किताब के कवर पर चारों तरफ आँखों की तस्वीरें थीं।,Kitab ke cover par charon taraf aankhon ki tasveeren thin.,ఆ పుస్తకం కవర్ అంతా కళ్ల బొమ్మలు ఉన్నాయి.
I'm not really a TV watcher.,मैं वास्तव में टीवी देखने वाला व्यक्ति नहीं हूँ।,Main vastav mein TV dekhne vala vyakti nahi hoon.,నేను ఎక్కువగా టీవీ చూడను.
Everything has a beginning and an end.,हर चीज़ की एक शुरुआत और एक अंत होता है।,Har cheez ki ek shuruat aur ek ant hota hai.,ప్రతిదానికి ఒక ఆరంభం మరియు ఒక అంతం ఉంటుంది.
There was a point in my life when my dreams didn't seem possible.,मेरे जीवन में एक ऐसा समय था जब मेरे सपने संभव नहीं लगते थे।,Mere jeevan mein ek aisa samay tha jab mere sapne sambhav nahi lagte the.,"నా జీవితంలో ఒక సమయం ఉండేది, అప్పుడు నా కలలు సాధ్యం కావు అనిపించేవి."
"On her fifteenth birthday, her mom surprised her with a trip to Portugal.","उसके पंद्रहवें जन्मदिन पर, उसकी माँ ने उसे पुर्तगाल की यात्रा का सरप्राइज़ दिया।","Uske pandrahve janmdin par, uski maa ne use Portugal ki yatra ka surprise diya.","ఆమె పదిహేనవ పుట్టినరోజున, ఆమె తల్లి ఆమెకు పోర్చుగల్ పర్యటనతో సర్ప్రైజ్ ఇచ్చింది."
She’s a walking encyclopedia of scientific facts.,वह वैज्ञानिक तथ्यों का चलता-फिरता विश्वकोश है।,Vah vaigyanik tathyon ka chalta-phirta vishwakosh hai.,ఆమె శాస్త్రీయ విషయాలకు సంబంధించి నడిచే ఎన్సైక్లోపీడియా వంటిది.
"She wasn't sure if she liked her job or not, but she was sure it was better than being unemployed.","उसे पक्का नहीं पता था कि उसे अपनी नौकरी पसंद है या नहीं, लेकिन उसे यह पक्का पता था कि बेरोजगार रहने से यह बेहतर है।","Use pakka nahi pata tha ki use apni naukri pasand hai ya nahi, lekin use yah pakka pata tha ki berojgar rahne se yah behtar hai.","ఆమెకు తన ఉద్యోగం నచ్చిందో లేదో తెలియదు, కానీ నిరుద్యోగిగా ఉండటం కంటే ఇది మేలని ఆమెకు తెలుసు."
That box is too big to put in the trunk of the car.,वह डिब्बा इतना बड़ा है कि कार की डिक्की में नहीं आ सकता।,Vah dibba itna bada hai ki car ki dikki mein nahi aa sakta.,ఆ పెట్టె కారు డిక్కీలో పెట్టడానికి చాలా పెద్దదిగా ఉంది.
He drinks more water than I do.,वह मुझसे ज्यादा पानी पीता है।,Vah mujhse zyada paani peeta hai.,అతను నాకంటే ఎక్కువ నీళ్లు తాగుతాడు.
She cut the covers off of all of her books so people wouldn't want to steal them.,उसने अपनी सभी किताबों के कवर काट दिए ताकि लोग उन्हें चुराना न चाहें।,Usne apni sabhi kitabon ke cover kaat diye taki log unhe churana na chahein.,ఎవరూ దొంగిలించకూడదని ఆమె తన పుస్తకాలన్నింటి కవర్లను కత్తిరించింది.
She bought a rotisserie chicken at the grocery store and its juices spilled all over the inside of her canvas bag.,उसने किराने की दुकान से एक रोटिसरी चिकन खरीदा और उसका रस उसके कैनवास बैग के अंदर हर जगह फैल गया।,Usne kirane ki dukan se ek rotisserie chicken kharida aur uska ras uske canvas bag ke andar har jagah phail gaya.,"ఆమె కిరాణా దుకాణంలో రోటిస్సేరీ చికెన్ కొన్నది, దాని రసం ఆమె కాన్వాస్ బ్యాగ్ లోపల అంతా ఒలికిపోయింది."
I get on the bus.,मैं बस में चढ़ता हूँ।,Main bus mein chadhta hoon.,నేను బస్సు ఎక్కుతాను.
My daughter does the laundry.,मेरी बेटी कपड़े धोती है।,Meri beti kapde dhoti hai.,నా కూతురు బట్టలు ఉతుకుతుంది.
She went on a first date with the boy before she realized he was a Marxist.,उस लड़के के मार्क्सवादी होने का पता चलने से पहले ही वह उसके साथ पहली डेट पर चली गई थी।,Us ladke ke marksvaadi hone ka pata chalne se pehle hi vah uske saath pehli date par chali gayi thi.,ఆ అబ్బాయి మార్క్సిస్ట్ అని తెలియకముందే ఆమె అతనితో మొదటి డేట్‌కి వెళ్ళింది.
We finished a bottle of wine between the two of us.,हम दोनों ने मिलकर वाइन की एक बोतल खत्म कर दी।,Hum dono ne milkar wine ki ek botal khatam kar di.,మేమిద్దరం కలిసి వైన్ బాటిల్ మొత్తం తాగేశాం.
Danny drank the juice.,डैनी ने जूस पी लिया।,Danny ne juice pee liya.,డాని జ్యూస్ తాగేశాడు.
You're running a big risk in trusting him.,उस पर भरोसा करके तुम बहुत बड़ा जोखिम उठा रहे हो।,Us par bharosa karke tum bahut bada jokhim utha rahe ho.,అతనిని నమ్మి నువ్వు చాలా పెద్ద రిస్క్ తీసుకుంటున్నావు.
Any day will do.,कोई भी दिन चलेगा।,Koi bhi din chalega.,ఏ రోజైనా పర్వాలేదు.
Cows eat grass.,गायें घास खाती हैं।,Gaayein ghaas khati hain.,ఆవులు గడ్డి తింటాయి.
He changed his favorite color by the day.,वह हर दिन अपना पसंदीदा रंग बदल लेता था।,Vah har din apna pasandida rang badal leta tha.,అతను ప్రతిరోజూ తనకి ఇష్టమైన రంగును మార్చేవాడు.
"Also, they don’t eat much.","साथ ही, वे ज्यादा नहीं खाते हैं।","Saath hi, ve zyada nahi khaate hain.","అంతేకాకుండా, అవి ఎక్కువగా తినవు."
I can be greedy sometimes.,मैं कभी-कभी लालची हो सकता हूँ।,Main kabhi-kabhi lalchi ho sakta hoon.,నేను కొన్నిసార్లు అత్యాశపడతాను.
Here he comes to save the day.,वह मुसीबत से बचाने के लिए आ गया।,Vah museebat se bachane ke liye aa gaya.,సమస్యను పరిష్కరించడానికి అతను వచ్చేసాడు.
Let's go to the mall today.,चलो आज मॉल चलते हैं।,Chalo aaj mall chalte hain.,ఈరోజు మనం మాల్‌కి వెళ్దాం.
Pam wants to play outside because it just stopped raining.,पैम बाहर खेलना चाहती है क्योंकि अभी बारिश रुकी है।,Pam bahar khelna chahti hai kyonki abhi barish ruki hai.,ఇప్పుడే వర్షం ఆగిపోయింది కాబట్టి ప్యామ్ బయట ఆడుకోవాలనుకుంటోంది.
I want chocolate.,मुझे चॉकलेट चाहिए।,Mujhe chocolate chahiye.,నాకు చాక్లెట్ కావాలి.
I told him I’d spank the suitcase for being bad.,मैंने उससे कहा कि मैं सूटकेस को बुरा होने के लिए मारूँगा।,Maine usse kaha ki main suitcase ko bura hone ke liye marunga.,సూట్‌కేస్ అల్లరి చేసినందుకు దాన్ని కొడతానని నేను వాడితో చెప్పాను.
Tom's a lot smarter than me.,टॉम मुझसे कहीं ज्यादा होशियार है।,Tom mujhse kahin jyada hoshiyar hai.,టామ్ నాకంటే చాలా తెలివైనవాడు.
You're the best person I know.,तुम मेरी जान-पहचान में सबसे अच्छे इंसान हो।,Tum meri jaan-pehchan mein sabse achhe insaan ho.,నాకు తెలిసిన వారిలో నువ్వు చాలా మంచి వ్యక్తివి.
I think you have the wrong number.,मुझे लगता है आपने गलत नंबर डायल किया है।,Mujhe lagta hai aapne galat number dial kiya hai.,మీరు తప్పు నంబర్‌కు కాల్ చేశారని నేను అనుకుంటున్నాను.
"He had an old pickup truck and a big, battered mower.","उसके पास एक पुरानी पिकअप ट्रक और एक बड़ी, खस्ताहाल घास काटने वाली मशीन थी।","Uske paas ek purani pickup truck aur ek badi, khastahal ghas katne wali machine thi.","అతని దగ్గర ఒక పాత పికప్ ట్రక్కు మరియు పెద్దగా, పాడైపోయిన గడ్డి కోసే యంత్రం ఉన్నాయి."
We were on the lake yesterday.,हम कल झील पर थे।,Hum kal jheel par the.,మేము నిన్న సరస్సు దగ్గర ఉన్నాము.
"She really wanted Panera, but there wasn't a store near her.","वह वास्तव में पनेरा चाहती थी, लेकिन उसके पास कोई स्टोर नहीं था।","Vah vastav mein Panera chahti thi, lekin uske paas koi store nahi tha.","ఆమెకు పనేరా తినాలని చాలా ఉంది, కానీ ఆమె దగ్గరలో ఆ స్టోర్ ఏదీ లేదు."
Paul gave me a present.,पॉल ने मुझे एक तोहफा दिया।,Paul ne mujhe ek tohfa diya.,పాల్ నాకు ఒక బహుమతి ఇచ్చాడు.
My small pet mouse escaped from his cage.,मेरा छोटा पालतू चूहा अपने पिंजरे से भाग गया।,Mera chhota paaltu chuha apne pinjre se bhaag gaya.,నా చిన్న పెంపుడు ఎలుక దాని పంజరం నుండి తప్పించుకుంది.
The delayed train has been an unexpected event today.,आज ट्रेन का देरी से आना एक अप्रत्याशित घटना रही है।,Aaj train ka deri se aana ek apratyashit ghatna rahi hai.,ఈరోజు రైలు ఆలస్యం కావడం ఊహించని సంఘటన.
There is a dictionary open on the table.,मेज पर एक डिक्शनरी खुली पड़ी है।,Mez par ek dictionary khuli padi hai.,టేబుల్ మీద ఒక నిఘంటువు తెరిచి ఉంది.
"I'll have to blow out my gas stove for my birthday, since I don't have any candles.","मुझे अपने जन्मदिन के लिए गैस स्टोव को फूंक मारकर बुझाना पड़ेगा, क्योंकि मेरे पास मोमबत्तियाँ नहीं हैं।","Mujhe apne janmdin ke liye gas stove ko phoonk maarkar bujhana padega, kyonki mere paas mombattiyan nahi hain.","నా దగ్గర కొవ్వొత్తులు లేవు కాబట్టి, నా పుట్టినరోజు కోసం గ్యాస్ స్టవ్‌ను ఊది ఆర్పాల్సి వస్తుంది."
I plan to weed the yard today.,मैं आज आंगन से खरपतवार निकालने की योजना बना रहा हूँ।,Main aaj aangan se kharpatwar nikalne ki yojana bana raha hoon.,ఈరోజు నేను పెరట్లో కలుపు మొక్కలను తొలగించాలని అనుకుంటున్నాను.
The baby threw up all over her new white dress.,बच्ची ने अपनी नई सफेद ड्रेस पर उल्टी कर दी।,Bachchi ne apni nayi safed dress par ulti kar di.,పాప తన కొత్త తెల్లటి దుస్తుల మీద వాంతి చేసుకుంది.
I’ve been able to cure my neighbor’s sick cat.,मैं अपने पड़ोसी की बीमार बिल्ली का इलाज करने में सफल रहा हूँ।,Main apne padosi ki bimar billi ka ilaaj karne mein safal raha hoon.,నేను నా పొరుగువారి అనారోగ్యంతో ఉన్న పిల్లిని నయం చేయగలిగాను.
Don't even look at me.,मेरी तरफ देखना भी मत।,Meri taraf dekhna bhi mat.,నా వైపు చూడకు కూడా.
Eurasia has a very rich history.,यूरेशिया का इतिहास बहुत समृद्ध है।,Eurasia ka itihas bahut samriddh hai.,యురేషియాకు చాలా గొప్ప చరిత్ర ఉంది.
I have lived in Shanghai for a long time.,मैं लंबे समय से शंघाई में रह रहा हूँ।,Main lambe samay se Shanghai mein reh raha hoon.,నేను చాలా కాలంగా షాంఘైలో ఉంటున్నాను.
The room had green wallpaper with yellow flowers all over it.,कमरे में हरे रंग का वॉलपेपर था जिस पर चारों तरफ पीले फूल बने थे।,Kamre mein hare rang ka wallpaper tha jis par charon taraf peele phool bane the.,"ఆ గదిలో ఆకుపచ్చ రంగు వాల్‌పేపర్ ఉంది, దాని నిండా పసుపు రంగు పూలు ఉన్నాయి."
I can do what you said.,"तुमने जो कहा, मैं वह कर सकता हूँ।","Tumne jo kaha, main woh kar sakta hoon.",నువ్వు చెప్పింది నేను చేయగలను.
My mom went on vacation and left my dad in charge of the house.,मेरी माँ छुट्टी पर चली गईं और घर की जिम्मेदारी मेरे पिता को सौंप गईं।,Meri maa chhutti par chali gayin aur ghar ki zimmedari mere pita ko saunp gayin.,"మా అమ్మ వెకేషన్‌కి వెళ్ళింది, ఇంటి బాధ్యతను మా నాన్నకు అప్పగించింది."
They could be together.,वे साथ हो सकते हैं।,Ve saath ho sakte hain.,వారు కలిసి ఉండవచ్చు.
"She was hypercritical of all writers, even those who had been published and became successful.","वह सभी लेखकों की बहुत आलोचना करती थी, यहाँ तक कि उनकी भी जो प्रकाशित हो चुके थे और सफल हो गए थे।","Vah sabhi lekhakon ki bahut aalochna karti thi, yahan tak ki unki bhi jo prakashit ho chuke the aur safal ho gaye the.","ఆమె రచయితలందరినీ విపరీతంగా విమర్శించేది, ప్రచురితమై విజయం సాధించిన వారిని కూడా వదిలిపెట్టేది కాదు."
"I saw some cool vintage chairs in a thrift store, but I really need to stop buying things.","मैंने एक पुरानी चीज़ों की दुकान में कुछ शानदार विंटेज कुर्सियाँ देखीं, लेकिन मुझे वास्तव में चीज़ें खरीदना बंद करना होगा।","Maine ek purani cheezon ki dukan mein kuch shandaar vintage kursiyan dekhi, lekin mujhe vastav mein cheezein khareedna band karna hoga.","నేను ఒక సెకండ్ హ్యాండ్ షాపులో కొన్ని మంచి పాతకాలపు కుర్చీలను చూశాను, కానీ నేను వస్తువులు కొనడం ఆపాలి."
You know what I mean.,तुम समझ रहे हो कि मेरा क्या मतलब है।,Tum samajh rahe ho ki mera kya matlab hai.,నేను ఏమంటున్నానో నీకు అర్థమవుతోంది.
She cancelled the date last minute because she was so stressed.,उसने आखिरी समय पर डेट रद्द कर दी क्योंकि वह बहुत तनाव में थी।,Usne aakhiri samay par date radd kar di kyonki vah bahut tanav mein thi.,ఆమె చాలా ఒత్తిడిలో ఉండటం వల్ల చివరి నిమిషంలో డేట్‌ను రద్దు చేసుకుంది.
Gus and Jack are selling toys outside their house.,गस और जैक अपने घर के बाहर खिलौने बेच रहे हैं।,Gus aur Jack apne ghar ke bahar khilone bech rahe hain.,గస్ మరియు జాక్ తమ ఇంటి బయట బొమ్మలను అమ్ముతున్నారు.
They sat in the shade of that big tree.,वे उस बड़े पेड़ की छाया में बैठ गए।,Ve us bade ped ki chhaya mein baith gaye.,వారు ఆ పెద్ద చెట్టు నీడలో కూర్చున్నారు.
I could help mom around here.,मैं यहाँ माँ की मदद कर सकता हूँ।,Main yahan maa ki madad kar sakta hoon.,నేను ఇక్కడ అమ్మకు సహాయం చేయగలను.
Those apples are very red.,वे सेब बहुत लाल हैं।,Ve seb bahut laal hain.,ఆ ఆపిల్ పండ్లు చాలా ఎర్రగా ఉన్నాయి.
They want to make it bigger.,वे इसे और बड़ा बनाना चाहते हैं।,Ve ise aur bada banana chahte hain.,వారు దీన్ని ఇంకా పెద్దదిగా చేయాలనుకుంటున్నారు.
We can make ice cream.,हम आइसक्रीम बना सकते हैं।,Hum ice cream bana sakte hain.,మనం ఐస్ క్రీమ్ తయారు చేయవచ్చు.
"Nevermind, then.",तो फिर रहने दो।,Toh phir rehne do.,"అయితే, వదిలేయ్."
She was the one that got away.,वही थी जो हाथ से निकल गई।,Wahi thi jo haath se nikal gayi.,ఆమెనే నా చేజారిపోయిన వ్యక్తి.
How beautiful she is.,वह कितनी सुंदर है।,Vah kitni sundar hai.,ఆమె ఎంత అందంగా ఉందో.
"Yes, every tweet so far has been bad, but scientists are hopeful that one day we will discover a way to make good tweets.","हाँ, अब तक का हर ट्वीट बुरा रहा है, लेकिन वैज्ञानिक आशावान हैं कि एक दिन हम अच्छे ट्वीट बनाने का तरीका खोज लेंगे।","Haan, ab tak ka har tweet bura raha hai, lekin vaigyanik aashavaan hain ki ek din hum achhe tweet banane ka tareeka khoj lenge.","అవును, ఇప్పటివరకు ప్రతి ట్వీట్ చెడ్డగానే ఉంది, కానీ ఒక రోజు మంచి ట్వీట్లు చేసే మార్గాన్ని కనుగొంటామని శాస్త్రవేత్తలు ఆశాభావంతో ఉన్నారు."
The shower was too hot when I first got into it.,जब मैं पहली बार नहाने गया तो शावर का पानी बहुत गर्म था।,Jab main pehli baar nahaane gaya toh shower ka paani bahut garam tha.,నేను మొదటిసారి షవర్ కిందకు వెళ్ళినప్పుడు నీళ్లు చాలా వేడిగా ఉన్నాయి.
I also did not want to just close it down.,मैं भी इसे बस बंद नहीं करना चाहता था।,Main bhi ise bas band nahi karna chahta tha.,నేను కూడా దీన్ని ఊరికే మూసివేయాలని అనుకోలేదు.
"I'll be back tomorrow, and we can decide together then.","मैं कल वापस आऊंगा, और तब हम साथ मिलकर फैसला कर सकते हैं।","Main kal wapas aaunga, aur tab hum saath milkar faisla kar sakte hain.","నేను రేపు తిరిగి వస్తాను, అప్పుడు మనం కలిసి నిర్ణయం తీసుకోవచ్చు."
She was born to dance.,वह नाचने के लिए ही पैदा हुई थी।,Vah naachne ke liye hi paida hui thi.,ఆమె పుట్టిందే నాట్యం చేయడానికి.
The Chicago Bulls won six championships.,शिकागो बुल्स ने छह चैंपियनशिप जीतीं।,Chicago Bulls ne chhah championship jeetin.,చికాగో బుల్స్ ఆరు ఛాంపియన్‌షిప్‌లను గెలుచుకుంది.
I am to blame for her death.,उसकी मौत का जिम्मेदार मैं हूं।,Uski maut ka zimmedar main hoon.,ఆమె మరణానికి నేనే బాధ్యుడిని.
"She didn't drink, but she didn't want people to realize that, so she ordered a ginger ale at the bar.","वह शराब नहीं पीती थी, लेकिन वह नहीं चाहती थी कि लोगों को यह पता चले, इसलिए उसने बार में जिंजर एल ऑर्डर किया।","Vah sharab nahi peeti thi, lekin vah nahi chahti thi ki logon ko yah pata chale, isliye usne bar mein ginger ale order kiya.","ఆమె మద్యం తాగదు, కానీ అది ఎవరికీ తెలియకూడదని బార్‌లో జింజర్ ఏల్ ఆర్డర్ చేసింది."
There is not much to do in South Carolina other than sit on a beach.,साउथ कैरोलिना में समुद्र तट पर बैठने के अलावा करने के लिए ज्यादा कुछ नहीं है।,South Carolina mein samudra tat par baithne ke alava karne ke liye zyada kuch nahi hai.,సౌత్ కరోలినాలో బీచ్‌లో కూర్చోవడం తప్ప చేయడానికి పెద్దగా ఏమీ లేదు.
I stepped into the elevator and pressed the down button.,मैं लिफ्ट में गया और नीचे जाने वाला बटन दबाया।,Main lift mein gaya aur neeche jaane wala button dabaya.,"నేను ఎలివేటర్ ఎక్కి, కిందికి వెళ్లే బటన్ నొక్కాను."
I suggest you leave here at once.,मेरा सुझाव है कि तुम अभी यहां से चले जाओ।,Mera sujhav hai ki tum abhi yahan se chale jao.,నువ్వు వెంటనే ఇక్కడి నుండి వెళ్లిపోవాలని నా సలహా.
He reminds me of your brother.,वह मुझे तुम्हारे भाई की याद दिलाता है।,Vah mujhe tumhare bhai ki yaad dilata hai.,అతనిని చూస్తుంటే నాకు నీ సోదరుడు గుర్తొస్తున్నాడు.
She fell and got a bruise on her thigh that was shaped like Texas.,वह गिर गई और उसकी जांघ पर चोट का निशान बन गया जो टेक्सास के आकार का था।,Vah gir gayi aur uski jaangh par chot ka nishan ban gaya jo Texas ke aakaar ka tha.,ఆమె పడిపోవడంతో ఆమె తొడపై టెక్సాస్ ఆకారంలో ఒక గాయం అయ్యింది.
You make me so happy.,तुम मुझे बहुत खुश करते हो।,Tum mujhe bahut khush karte ho.,నువ్వు నన్ను చాలా సంతోషపెడతావు.
We will walk in the garden later.,हम बाद में बगीचे में टहलेंगे।,Hum baad mein bagiche mein tahlenge.,మేము తర్వాత తోటలో నడుస్తాము.
I’d be very surprised if that happened.,अगर ऐसा हुआ तो मुझे बहुत आश्चर्य होगा।,Agar aisa hua toh mujhe bahut aashcharya hoga.,ఒకవేళ అలా జరిగితే నేను చాలా ఆశ్చర్యపోతాను.
"I wanted a little more than that, to be perfectly honest, Trevor.","सच कहूं तो ट्रेवर, मुझे उससे थोड़ा और चाहिए था।","Sach kahun toh Trevor, mujhe usse thoda aur chahiye tha.","నిజం చెప్పాలంటే ట్రెవర్, నాకు అంతకంటే కొంచెం ఎక్కువ కావాలి."
They had a very traditional doorbell.,उनके पास एक बहुत ही पारंपरिक डोरबेल थी।,Unke paas ek bahut hi paramparik doorbell thi.,వారి దగ్గర చాలా సాంప్రదాయమైన డోర్‌బెల్ ఉంది.
The gang's all her.,पूरी गैंग यहाँ है।,Puri gang yahan hai.,గ్యాంగ్ అంతా ఇక్కడే ఉంది.
She kept getting distracted by her own face in the camera viewfinder.,वह कैमरा व्यूफाइंडर में अपना चेहरा देखकर बार-बार विचलित हो रही थी।,Vah camera viewfinder mein apna chehra dekhkar baar-baar vichalit ho rahi thi.,కెమెరా వ్యూఫైండర్‌లో తన ముఖాన్ని చూసుకుంటూ ఆమె పదే పదే పరధ్యానంలో పడిపోతోంది.
I spread the map on the table.,मैंने मेज पर नक्शा फैला दिया।,Maine mej par naksha phaila diya.,నేను టేబుల్ మీద మ్యాప్‌ను పరిచాను.
"He wanted to give his boyfriend a hug, but he was in Slovakia.","वह अपने बॉयफ्रेंड को गले लगाना चाहता था, लेकिन वह स्लोवाकिया में था।","Vah apne boyfriend ko gale lagana chahta tha, lekin vah Slovakia mein tha.","అతను తన బాయ్‌ఫ్రెండ్‌ని కౌగిలించుకోవాలనుకున్నాడు, కానీ అతను స్లోవేకియాలో ఉన్నాడు."
We go to a gallery every Sunday.,हम हर रविवार गैलरी जाते हैं।,Hum har ravivar gallery jaate hain.,మేము ప్రతి ఆదివారం గ్యాలరీకి వెళ్తాము.
